topic_id,cv_score,size,top_words,word_weights
0,0.4142252979480106,2919,"defence, forces, armed, our, the, we, of, and, that, to","0.0192, 0.0173, 0.0165, 0.0117, 0.0112, 0.0108, 0.0102, 0.0101, 0.0099, 0.0097"
1,0.4957233815722395,3507,"hospital, patients, cancer, care, the, health, in, to, is","0.0154, 0.0153, 0.0144, 0.0137, 0.0101, 0.0101, 0.0098, 0.0098, 0.0096"
2,0.5868582868446864,2951,"rail, transport, trains, the, line, and, will, franchise, network","0.0214, 0.0136, 0.0122, 0.0112, 0.0102, 0.0101, 0.0099, 0.0099, 0.0098"
3,0.38939640743205667,1307,"disabled, people, disability, to, and, that, the, with, have","0.0181, 0.0168, 0.0163, 0.0111, 0.0102, 0.0099, 0.0096, 0.0096, 0.0092"
4,0.36339464317210346,2718,"trade, eu, customs, bill, union, uk, the, agreements, we, free","0.0355, 0.0181, 0.0167, 0.0146, 0.0130, 0.0126, 0.0118, 0.0118, 0.0113, 0.0108"
5,0.45621238946238685,657,"contracts, public, company, government, the, sector, of, to, companies","0.0267, 0.0158, 0.0151, 0.0142, 0.0119, 0.0117, 0.0107, 0.0105, 0.0105"
6,0.5163478598002587,1031,"debt, pension, pensions, financial, advice, scheme, guidance, to, the, that","0.0243, 0.0226, 0.0171, 0.0170, 0.0155, 0.0141, 0.0128, 0.0112, 0.0103, 0.0098"
7,0.5838618377024986,809,"bank, banks, banking, businesses, branch, business, of, to, the","0.0271, 0.0209, 0.0181, 0.0129, 0.0113, 0.0111, 0.0105, 0.0102, 0.0102"
8,0.46811874599411984,1296,"prison, mental, prisoners, prisons, health, in, and, of, is, to","0.0393, 0.0250, 0.0242, 0.0197, 0.0186, 0.0114, 0.0108, 0.0095, 0.0094, 0.0093"
9,0.4826655923565155,2330,"refugees, refugee, human, international, and, rights, to, the, in","0.0280, 0.0144, 0.0116, 0.0113, 0.0110, 0.0108, 0.0107, 0.0106, 0.0100"
10,0.29304162262848144,601,"analysis, forecasts, economic, the, not, brexit, they, that, government, union","0.0224, 0.0140, 0.0131, 0.0121, 0.0121, 0.0114, 0.0113, 0.0110, 0.0104, 0.0103"
11,0.3107995998327585,460,"rights, charter, law, clause, eu, amendment, of, the, that, parliament","0.0277, 0.0190, 0.0189, 0.0150, 0.0146, 0.0122, 0.0117, 0.0112, 0.0107, 0.0107"
12,0.5784770483383548,1440,"amendments, government, devolved, clause, 11, amendment, bill, devolution","0.0162, 0.0154, 0.0154, 0.0144, 0.0143, 0.0136, 0.0131, 0.0128"
13,0.2838556420577696,372,"building, we, house, decant, this, palace, chamber, is, the, work","0.0242, 0.0159, 0.0143, 0.0134, 0.0134, 0.0122, 0.0115, 0.0112, 0.0110, 0.0108"
14,0.6669233811373635,378,"skills, engineering, apprenticeships, apprenticeship, levy, education, in, and, careers","0.0382, 0.0201, 0.0169, 0.0163, 0.0160, 0.0123, 0.0120, 0.0118, 0.0105"
15,0.3996862522006469,682,"pay, gender, sky, equality, state, secretary, women, equal","0.0350, 0.0185, 0.0182, 0.0174, 0.0168, 0.0164, 0.0151, 0.0148"
16,0.4333691963077486,232,"space, industry, satellites, bill, launch, uk, satellite, the, spaceport, and","0.0474, 0.0175, 0.0155, 0.0152, 0.0128, 0.0119, 0.0118, 0.0111, 0.0108, 0.0106"
17,0.803285885125425,749,"landlords, tenants, bill, housing, private, property, properties, landlord, rented, local","0.0311, 0.0253, 0.0184, 0.0178, 0.0145, 0.0145, 0.0136, 0.0136, 0.0119, 0.0118"
18,0.6195993925943224,409,"victims, parole, board, case, review, victim, decision, transparency, justice","0.0473, 0.0442, 0.0322, 0.0228, 0.0197, 0.0178, 0.0143, 0.0140, 0.0133"
19,0.6924703358783547,116,"organisation, terrorist, wing, political, military, its, terrorism","0.0198, 0.0192, 0.0165, 0.0158, 0.0156, 0.0147, 0.0144"
20,0.9171172669818143,670,"noise, airport, aviation, airports, aircraft, expansion, flights","0.0370, 0.0352, 0.0160, 0.0136, 0.0123, 0.0118, 0.0117"
21,0.4225517486076363,313,"nuclear, safeguards, membership, industry, associate, bill, we, the, our","0.0485, 0.0191, 0.0162, 0.0146, 0.0143, 0.0132, 0.0120, 0.0118, 0.0112"
22,0.8377823554795233,1890,"schools, school, academy, education, academies, teachers, pupils, college, primary","0.0595, 0.0387, 0.0271, 0.0229, 0.0208, 0.0141, 0.0126, 0.0121, 0.0120"
23,0.6543209987911842,636,"childcare, parents, vouchers, tax, free, families, scheme, children, voucher, to","0.0755, 0.0323, 0.0281, 0.0273, 0.0221, 0.0196, 0.0167, 0.0162, 0.0120, 0.0103"
24,0.2935575306380798,300,"holocaust, anti, words, memorial, semitism, was, day, who, and","0.0450, 0.0182, 0.0180, 0.0173, 0.0156, 0.0149, 0.0129, 0.0119, 0.0117"
25,0.6494680124407907,90,"charging, electric, vehicles, points, charge, vehicle, bill, infrastructure, car, clause","0.0393, 0.0349, 0.0310, 0.0220, 0.0164, 0.0154, 0.0128, 0.0126, 0.0126, 0.0113"
26,0.6085104060649841,169,"fireworks, firework, night, bonfire, animals, use, sale, year, of, and","0.0754, 0.0190, 0.0155, 0.0145, 0.0132, 0.0126, 0.0117, 0.0115, 0.0112, 0.0105"
27,0.9200871324592063,233,"trees, woodland, forestry, planting, woodlands, forest, timber, tree, plant, ancient","0.0343, 0.0291, 0.0242, 0.0168, 0.0143, 0.0140, 0.0137, 0.0136, 0.0126, 0.0120"
28,0.701910952513062,423,"drug, drugs, consumption, rooms, addiction, people, in","0.0591, 0.0272, 0.0252, 0.0179, 0.0131, 0.0112, 0.0111"
29,0.790783304826473,629,"county, lines, gangs, police, crime, young, exploitation, children, gang","0.0357, 0.0347, 0.0231, 0.0218, 0.0204, 0.0198, 0.0190, 0.0186, 0.0156"
30,0.504370225780899,496,"enterprise, law, joint, court, justice, convicted, supreme, cases, of","0.0334, 0.0292, 0.0281, 0.0179, 0.0175, 0.0163, 0.0160, 0.0150, 0.0121"
31,0.6215331221961204,771,"foreign, influence, humanitarian, death","0.0158, 0.0139, 0.0126, 0.0122"
32,0.6838718558720605,287,"food, obesity, children, advertising, junk, sugar, tv, childhood, health, obese","0.0348, 0.0341, 0.0318, 0.0304, 0.0181, 0.0171, 0.0142, 0.0142, 0.0140, 0.0135"
33,0.43062024661953724,50,"deal, devolution, region, wider, city, mayor","0.0348, 0.0239, 0.0190, 0.0162, 0.0139, 0.0132"
34,0.2914513592517029,1869,"deal, we, eu, leave, referendum, petition, our, brexit, the","0.0191, 0.0170, 0.0168, 0.0167, 0.0164, 0.0128, 0.0113, 0.0113, 0.0111"
35,0.808652644960639,829,"universal, credit, landlords, arrears, rent, claimants, housing, private, landlord, sector","0.0663, 0.0643, 0.0344, 0.0248, 0.0239, 0.0223, 0.0219, 0.0185, 0.0139, 0.0131"
36,0.6195624293845123,182,"marriage, married, couples, children, family, families, allowance, that, parents, is","0.0652, 0.0265, 0.0186, 0.0132, 0.0130, 0.0129, 0.0125, 0.0117, 0.0111, 0.0109"
37,0.7161219289036912,259,"food, poverty, banks, universal, credit, people, bank","0.0652, 0.0231, 0.0218, 0.0188, 0.0186, 0.0165, 0.0160"
38,0.5354270562033263,71,"housing, supported, accommodation, term, funding, short, providers, local, for","0.0441, 0.0326, 0.0244, 0.0228, 0.0193, 0.0174, 0.0161, 0.0160, 0.0113"
39,0.3779019366963388,962,"women, event, harassment, this, sexual, minister, men, department, behaviour","0.0366, 0.0316, 0.0204, 0.0174, 0.0174, 0.0156, 0.0150, 0.0131, 0.0131"
40,0.7125235342428474,52,"pubs, code, pub, adjudicator, tenants, rent, tied, that, the","0.0569, 0.0457, 0.0431, 0.0267, 0.0237, 0.0173, 0.0133, 0.0122, 0.0122"
41,0.35926445430785353,51,"young, toby, he, tweets, students, comments, office, appointment, has","0.0466, 0.0312, 0.0311, 0.0298, 0.0292, 0.0239, 0.0202, 0.0185, 0.0185"
42,0.5548555887308674,410,"plastic, recycling, waste, plastics, reduce, bottles, secretary, state, targets, packaging","0.0803, 0.0366, 0.0300, 0.0294, 0.0200, 0.0199, 0.0177, 0.0177, 0.0176, 0.0173"
43,0.6273402906651928,315,"neighbourhood, planning, plans, plan, local, housing, town, mid, council","0.0399, 0.0325, 0.0220, 0.0185, 0.0169, 0.0158, 0.0150, 0.0145, 0.0144"
44,0.48074746864919315,320,"autism, autistic, buildings, public, people, friendly, with, awareness, and, their","0.0716, 0.0325, 0.0286, 0.0184, 0.0180, 0.0170, 0.0138, 0.0129, 0.0124, 0.0109"
45,0.46030850831459325,95,"stalking, police, victims, her, bill, behaviour, to, orders, this","0.0572, 0.0264, 0.0223, 0.0185, 0.0176, 0.0130, 0.0110, 0.0108, 0.0108"
46,0.7311651835893849,1261,"police, crime, officers, policing, settlement, funding, million, resources, commissioners","0.1099, 0.0438, 0.0292, 0.0236, 0.0203, 0.0202, 0.0197, 0.0153, 0.0152"
47,0.7075955311878601,379,"inquest, legal, families, aid, coroner, representation, inquests, bereaved, exceptional, the","0.0328, 0.0326, 0.0306, 0.0193, 0.0188, 0.0182, 0.0179, 0.0168, 0.0155, 0.0131"
48,0.6198329351879138,1024,"renewable, energy, air, targets, quality, fuel, clean, waste, we","0.0789, 0.0351, 0.0318, 0.0255, 0.0236, 0.0235, 0.0199, 0.0196, 0.0166"
49,0.6615093434983381,375,"homelessness, rough, sleeping, homeless, reduction, local, sleepers, authorities, prevent, act","0.1000, 0.0726, 0.0579, 0.0232, 0.0225, 0.0213, 0.0207, 0.0202, 0.0169, 0.0155"
50,0.650825858855623,57,"attacks, security, humanitarian, military, in","0.0193, 0.0171, 0.0141, 0.0121, 0.0119"
51,0.4394508143862744,28,"china, declaration, rights, freedoms, human, of, systems","0.0266, 0.0168, 0.0168, 0.0154, 0.0144, 0.0132, 0.0124"
52,0.45797329327145847,784,"motion, house, vote, amendments, amendment, amendable, will, tabled, for, order","0.0397, 0.0218, 0.0192, 0.0170, 0.0146, 0.0143, 0.0141, 0.0136, 0.0130, 0.0129"
53,0.6124481541570207,25,"autism, autistic, criminal, justice, adults, police, system, spectrum, prison, with","0.0764, 0.0444, 0.0354, 0.0309, 0.0239, 0.0227, 0.0219, 0.0210, 0.0180, 0.0174"
54,0.265461559731729,184,"give, speaker, way, deputy, hon, gentleman, am, intervention, my","0.0511, 0.0418, 0.0407, 0.0279, 0.0252, 0.0244, 0.0233, 0.0226, 0.0203"
55,0.6767182330171801,404,"wage, income, lowest, living, pay, national, tax, inequality, paid, increased","0.0877, 0.0510, 0.0467, 0.0428, 0.0378, 0.0331, 0.0316, 0.0298, 0.0281, 0.0268"
56,0.5977678115417683,718,"council, local, councillor, councillors, authority, conduct, standards, has","0.0345, 0.0282, 0.0246, 0.0205, 0.0190, 0.0163, 0.0161, 0.0141"
57,0.519091682426862,266,"illegal, ivory, wildlife, trade, hunting, whaling, trail, crime, ban","0.0766, 0.0631, 0.0593, 0.0370, 0.0284, 0.0193, 0.0177, 0.0164, 0.0163"
58,0.31563500578081893,357,"electoral, commission, panel, speaker, appointment, process, professor","0.0889, 0.0370, 0.0244, 0.0219, 0.0180, 0.0164, 0.0152"
59,0.7019856836300115,839,"housing, affordable, homes, council, local, viability, planning, plan, new, building","0.0614, 0.0477, 0.0365, 0.0232, 0.0161, 0.0160, 0.0158, 0.0146, 0.0131, 0.0129"
60,0.39591567636662023,313,"island, isle, funding, local, ferries, an, islands, the","0.0680, 0.0417, 0.0167, 0.0132, 0.0130, 0.0121, 0.0119, 0.0114"
61,0.24930449189815618,289,"uk, deported, terror, security, conflict, travelled","0.0194, 0.0188, 0.0174, 0.0169, 0.0161, 0.0147"
62,0.4865765413272983,305,"domestic, violence, abuse, women, we, she, survivors, footing, her, perpetrators","0.0912, 0.0741, 0.0704, 0.0263, 0.0202, 0.0201, 0.0193, 0.0161, 0.0159, 0.0154"
63,0.5107432228306492,195,"fire, firefighters, reserves, fires, rescue, tower, flexibilities, fewer, local, authority","0.0989, 0.0431, 0.0389, 0.0377, 0.0284, 0.0201, 0.0193, 0.0180, 0.0163, 0.0158"
64,0.7883087881689449,225,"mobile, phone, consumers, handset, bundled, contract, providers, consumer, contracts","0.0802, 0.0448, 0.0419, 0.0406, 0.0243, 0.0239, 0.0225, 0.0221, 0.0212"
65,0.2618468279697598,62,"discussions, leaves, devolving, cabinet, recent, colleagues, powers, eu","0.1338, 0.1132, 0.1039, 0.1000, 0.0833, 0.0739, 0.0728, 0.0678"
66,0.3973579834538954,17,"implementation, period, eu, partnership, future, we, seeking, agreement, will, uk","0.0763, 0.0728, 0.0391, 0.0227, 0.0216, 0.0210, 0.0187, 0.0177, 0.0170, 0.0164"
67,0.417621923830278,662,"peace, united, barriers","0.0528, 0.0238, 0.0194"
68,0.593768790567508,1072,"border, agreement, fudge, northern, phase, withdrawal, negotiations","0.0392, 0.0352, 0.0184, 0.0170, 0.0167, 0.0148, 0.0140"
69,0.519569728229956,42,"small, contracts, businesses, procurement, sized, medium, enterprises, government","0.0720, 0.0540, 0.0393, 0.0378, 0.0358, 0.0344, 0.0312, 0.0256"
70,0.753899882449614,16,"insurance, genetic, conditions, disease, condition, insurers, predictive, companies","0.0996, 0.0554, 0.0207, 0.0197, 0.0196, 0.0174, 0.0158, 0.0145"
71,0.24633749936902788,218,"broadband, relief, fibre, bill, roll, 95, superfast, will, government","0.0647, 0.0457, 0.0379, 0.0174, 0.0164, 0.0162, 0.0158, 0.0141, 0.0140"
72,0.5289989218882969,102,"youth, programme, sport, programmes, young, corps, sports, plus","0.0767, 0.0545, 0.0463, 0.0222, 0.0171, 0.0164, 0.0162, 0.0141"
73,0.3537115378919989,232,"adjournment, him, happy, issue, am, urge, hon, her, important, gentleman","0.0496, 0.0427, 0.0387, 0.0329, 0.0296, 0.0279, 0.0274, 0.0272, 0.0250, 0.0248"
74,0.6191960914846192,30,"data, ethical, ethics, artificial, transparency, intelligence, technology, privacy","0.0287, 0.0229, 0.0210, 0.0169, 0.0157, 0.0143, 0.0142, 0.0140"
75,0.6509864061628057,15,"stamp, tax, property, buyers, duty, first, market, buyer, seller, time","0.0539, 0.0482, 0.0476, 0.0438, 0.0380, 0.0229, 0.0217, 0.0216, 0.0198, 0.0191"
76,0.44315246676720177,14,"investors, developer, tourism, government, property, this, in","0.0268, 0.0182, 0.0169, 0.0143, 0.0143, 0.0124, 0.0124"
77,0.25690554506472807,14,"overseas, territories, eu, assistance, saint","0.0393, 0.0348, 0.0244, 0.0185, 0.0161"
78,0.6651657162902955,389,"lorry, parking, drivers, lorries, park, facilities, truck, fly, parks","0.0757, 0.0666, 0.0327, 0.0298, 0.0275, 0.0239, 0.0226, 0.0190, 0.0189"
79,0.5051390438508102,108,"deal, deals, growth, city, government, transformative","0.0454, 0.0411, 0.0366, 0.0321, 0.0256, 0.0230"
80,0.35031395444734076,88,"sex, marriage, same, rights, couples, supreme, court, territories","0.0465, 0.0344, 0.0329, 0.0233, 0.0231, 0.0215, 0.0197, 0.0197"
81,0.3742971810323346,173,"export, exports, exporting, promotion, business, businesses, promotional, envoys, practical","0.0680, 0.0522, 0.0286, 0.0276, 0.0271, 0.0271, 0.0244, 0.0238, 0.0227"
82,0.25113057333750644,307,"unpaid, her, very, pleasure, meetings, grateful, much, ministerial, apex, hone","0.0311, 0.0258, 0.0251, 0.0239, 0.0239, 0.0238, 0.0218, 0.0216, 0.0209, 0.0209"
83,0.30151564205210263,88,"commonwealth, 52, countries, foreign, 54, summit, president","0.1086, 0.0403, 0.0326, 0.0326, 0.0324, 0.0288, 0.0230"
84,0.32111994185765325,24,"charities, small, fund, funding, challenge, avail, grassroots, international, carefully, excellent","0.1315, 0.0541, 0.0473, 0.0310, 0.0282, 0.0281, 0.0247, 0.0236, 0.0235, 0.0210"
85,0.683540534341104,522,"animals, animal, welfare, ban, live, slaughter, we, exports, export, that","0.0373, 0.0232, 0.0211, 0.0183, 0.0165, 0.0135, 0.0133, 0.0128, 0.0124, 0.0118"
86,0.8587131727689494,883,"fisheries, fishing, fish, fishermen, sea, marine, our, waters, species, quota","0.0327, 0.0296, 0.0257, 0.0176, 0.0168, 0.0143, 0.0134, 0.0133, 0.0130, 0.0127"
87,0.6963561439627287,201,"basketball, sport, sports, funding, team, and, game, teams, league","0.0699, 0.0523, 0.0206, 0.0173, 0.0149, 0.0124, 0.0123, 0.0118, 0.0118"
88,0.25562892774626883,123,"chemicals, reach, industry, chemical, eu, uk, regulation, the, it, and","0.0547, 0.0287, 0.0206, 0.0166, 0.0164, 0.0154, 0.0141, 0.0124, 0.0120, 0.0119"
89,0.556806936225936,53,"navigation, commissioners, waterways, amendment, bill, waterway, middle, vessel, boat, clause","0.0323, 0.0310, 0.0270, 0.0263, 0.0216, 0.0193, 0.0185, 0.0168, 0.0162, 0.0150"
